x	y	z
0.00084506	0.00173143	0.00534587
0.00120115	0.00469162	0.00306666
0.000899863	0.00137152	0.0087268
0.000761786	0.00472084	0.00514776
0.00735638	0.00267188	0.00309503
0.00127275	0.00465448	0.0054737
0.00404721	0.00642779	0.00259367
0.00574673	0.00848345	0.00942526
0.00176422	0.00936301	0.000511853
0.00879553	0.00507193	0.00802396
0.00814376	9.75583e-05	-1.38495e-05
0.0013412	0.00279047	0.00814447
0.00267161	0.00147406	0.00695931
0.0094549	0.00249493	0.00415009
0.00865166	0.00337548	0.00812981
0.00701634	0.00432447	0.00789395
0.00569789	0.000930373	0.00721939
0.00845322	0.00503363	0.00548767
0.00266108	0.000967767	0.00335414
0.00532621	0.00765671	0.000558605
0.00908343	0.00477601	0.00927969
0.00590129	0.00176816	0.00569876
0.00340423	0.00297667	0.00587288
0.00898959	0.00502155	0.0010044
0.00534562	0.00373537	0.00305587
0.00332695	0.00192139	0.00244112
0.00710999	0.00215174	0.00689524
0.00466517	0.00752624	0.00377598
0.00829774	0.00242162	0.00236844
0.00677729	0.00208006	0.00611651
0.00107705	0.00648933	0.00341027
0.000867475	0.00531556	0.00824441
0.00935546	0.00164849	0.00813231
0.00486336	0.00816035	0.00724607
0.00932094	0.00200662	0.00303031
0.00496327	0.00952937	0.00576601
0.00742346	0.00503155	0.00248345
0.00686104	0.00551798	0.0067724
0.00243704	0.00538124	0.00801174
0.00745915	0.00803727	0.00485775
0.00239714	0.00681861	0.00678838
0.00465415	0.00804364	0.00982898
0.000329378	0.00702294	0.00612398
0.00230123	0.00534711	0.00945729
0.000266429	0.000710789	0.000558684
0.0069322	0.000815641	0.00429561
0.00471809	0.00999092	0.00884253
0.000135324	0.00711575	0.00337215
0.00628728	0.000543496	0.00297053
0.00460599	0.00105695	0.0018484
0.00604363	0.00570001	0.0070251
0.00401789	0.00879545	0.00593333
0.00510147	0.00274086	0.00283917
0.00564655	0.003599	0.00703512
0.00632658	0.00629514	0.00495556
0.00211217	0.00994852	0.00961554
0.00543747	0.00340587	0.000991706
0.0059086	0.00989501	0.00707429
0.00797565	0.00448374	0.00523245
0.00938622	0.0036185	0.00886407
0.00519931	0.00544254	0.00508334
0.00294716	0.00144298	0.0024438
0.00845645	0.00178893	0.00186237
0.00329704	0.00463138	0.00665714
0.00704482	0.0042775	0.00164233
0.00953912	0.00548241	0.00274054
0.00202034	0.00152232	0.00512567
0.00357154	0.00713065	0.00568055
0.0020512	0.00706208	0.00922367
8.37327e-06	0.00481683	0.00504914
0.00918604	0.000150973	0.00480017
0.00616984	0.00331191	0.00794993
0.00295509	0.00577771	0.000732298
0.000103548	0.00142441	0.0092839
0.00793469	0.00693929	0.00700037
0.00805315	0.00488076	0.000978122
0.009869	0.00124332	0.00814707
0.00268912	0.00538998	0.000265166
0.00452086	0.00537246	0.00914453
0.00792713	0.00373854	0.000744873
0.00705521	0.00404675	0.00377271
0.00560588	0.00838159	0.007734
0.00383384	0.00353581	0.00126933
0.00496386	0.00976239	0.00893909
0.00188754	0.00352914	0.00604002
0.00853864	0.00645039	0.00825654
0.00319598	0.00148538	0.00185207
0.00158764	0.00242652	0.00235992
0.00437794	0.0082201	0.00663167
0.00236817	0.00530586	0.00857771
0.00349405	0.0059536	0.0068716
0.00508286	0.00483217	0.00592638
0.00288973	0.00660073	4.0876e-05
0.00142188	0.00556181	0.00643683
0.00413513	0.00980538	0.00342629
0.000789249	0.00695597	0.00504609
0.00930011	0.00599128	0.00375971
0.0049116	0.0034279	0.00373221
0.000710135	0.00236528	0.00853871
0.0012746	0.00211363	0.00679417
