x	y	z
0.00211273	0.00530011	0.00730282
0.00313986	0.00419872	0.000817758
0.00610698	0.00647893	0.00750628
0.000982841	0.000250658	0.00926708
0.00830196	0.0031407	0.00370083
0.00258182	0.00533718	0.00400841
0.0054938	0.0066297	0.00617163
0.00911268	0.00235927	0.00941019
0.00827934	0.00622884	0.00274999
0.00762621	0.00503467	0.00398232
0.00957785	0.00595602	0.00138679
0.00472024	0.00231527	0.00756799
0.00267161	0.00771149	0.00676773
0.00626996	0.00663277	0.00851493
0.00809536	0.00270958	0.00189132
0.00508872	0.00854868	0.00946252
0.0080178	0.00496347	0.0058814
0.00951421	0.00696598	0.00951796
0.00161807	0.000298411	0.00411764
0.00998588	0.000221602	0.00318764
0.00474882	0.000404122	0.00962216
0.00890652	0.00190618	0.00556594
0.00392964	0.00247891	0.00399554
0.00456874	0.00271661	0.00146571
0.00569267	0.00282793	0.00324929
0.0071906	0.00525083	0.00525222
0.00225104	0.00416462	0.000365073
0.000133898	0.00886286	0.00576543
0.00973405	0.00156687	0.00356117
0.00872569	0.00636351	0.00546744
0.00636574	0.00918927	0.00982122
0.00659846	0.00963237	0.00423696
0.00989512	0.00136231	0.00955928
0.000339238	0.00992553	0.00973494
0.00946909	0.00359218	0.00793353
0.00903382	0.00591894	0.00756595
0.00402206	0.00223943	0.0086761
0.00858263	0.00648247	0.00862501
0.00765724	0.000158498	0.00529031
0.00968515	0.00695724	0.00816296
0.00206592	0.00720812	0.00961408
0.00195029	0.0065642	0.00825918
0.00403174	0.00491944	0.00750289
0.00130529	0.00800055	0.00472802
0.0030676	0.00046318	0.00590951
0.00759585	0.00288274	0.00338198
0.00647733	0.00863622	0.00601292
0.00421567	0.00808599	0.00191392
0.00656229	0.00261974	0.00365397
0.00143358	0.00339904	0.00163333
0.00937048	0.000260548	0.00778642
0.00453223	0.00668169	0.00325899
0.00367138	0.00818802	0.00911669
0.00158038	0.000699108	0.00626459
0.00437549	0.0046149	0.000200541
0.000182238	0.00616088	0.00735229
0.00732029	0.00374281	0.00417921
0.009267	0.00619542	0.00722697
0.00471913	0.00698992	0.00490949
0.00362541	0.00157562	0.00602432
0.00436444	0.00620824	9.39118e-06
0.00129276	0.00272564	0.00187918
0.00229012	0.00156257	0.00152749
0.00020744	0.00992014	0.00192984
0.00137387	0.000996664	0.00688091
0.00977048	0.00957264	0.00748646
0.000452759	0.00295158	0.000239188
0.00567802	0.00428608	0.0063981
0.00491472	0.00864386	0.00501099
0.00118926	0.00523935	0.00194758
0.00755457	0.0012129	0.00745064
0.00541049	0.00978203	0.00710514
0.00032028	0.00498465	0.0068404
0.00236396	0.00383058	0.00724714
0.0068754	0.00336041	0.00939097
0.00211171	0.00859178	0.00579727
0.00464008	0.005474	0.0093332
0.00134401	0.00696126	0.00293712
0.00288987	0.00332648	0.00527452
0.00529931	0.00209787	0.00161955
0.00103702	0.00359546	0.00290821
0.000278914	0.00623684	0.00597888
0.000375515	0.00855848	0.000700769
0.00160173	0.00952208	0.00731651
0.0027509	0.00961964	0.00608137
0.00534039	0.00542581	0.00814656
0.00316163	0.000676061	0.00323506
0.00545305	0.000462441	0.00364707
0.000859455	0.00892854	0.00150272
0.00192623	0.0089094	0.00977882
0.0010341	0.00136479	0.00364013
0.00358793	0.00159907	0.00171214
-1.97619e-05	0.00997955	0.0040172
0.00417588	0.00807846	0.00201351
0.00603171	0.00873693	0.00920673
0.0030729	0.00699459	0.00108958
0.00999726	0.00804453	0.00406393
0.00462451	0.00115598	0.00379051
0.00614825	0.00367648	0.00655159
0.000164849	0.00678669	0.00983503
