x	y	z
0.0075001	0.00784154	0.0022913
0.00640044	0.0066261	0.00170592
0.000663154	0.00144852	0.00648904
0.000101875	0.00221482	0.00907996
0.00999047	0.000832062	0.000717642
0.00335538	0.00197573	0.00878169
0.0016143	0.0056354	0.00861115
0.00518574	0.00783394	0.0094844
0.00363978	0.00152758	0.00820969
0.00661635	0.00521815	0.00367613
0.00251608	0.0024942	0.00548259
0.00825287	0.00302808	0.00960319
0.0039071	0.00270264	0.00226543
0.00766337	0.0063193	0.00712612
0.00916599	0.00598889	0.00765741
0.00546845	0.00784464	0.00273419
0.000768142	0.00526893	0.00756413
0.000370489	0.00254463	0.00556475
0.00051057	0.00606467	0.000358587
0.00854339	0.00355769	0.00140355
0.00599666	0.00179518	0.00484461
0.00466568	0.0005746	0.00251453
0.00130136	0.00438648	0.00670566
0.00324989	0.00623654	0.00902211
0.00398364	0.00729638	0.0079882
0.00818578	0.00903431	0.00853182
0.00600569	0.00572001	0.00778572
0.00239943	0.00680217	0.00398698
0.00266131	0.00577591	0.00227806
0.00876429	0.00559218	0.00845813
0.000516143	0.00925685	0.00137052
0.00147532	0.00539264	0.00393338
0.00705096	0.0028301	0.000179733
0.00559045	0.00123327	0.00461893
0.0079313	0.0025677	0.00764925
0.00117003	0.00835037	0.00126704
0.000767318	0.00423012	0.0012225
0.000105126	0.00173292	0.00855376
0.00204157	0.00715032	0.00137452
0.0040311	0.00826867	0.00801272
0.00370574	0.00529109	0.00425282
0.0047771	0.00680904	0.00227296
0.0044909	0.000271621	0.00260141
0.00346316	0.00498526	0.00795251
0.00939147	0.00168247	0.0060086
0.00552194	0.00431824	0.00788118
0.00218498	0.00472557	0.00860675
0.00427749	0.00330834	0.00426328
0.00520808	0.00755869	0.000288531
0.00861819	0.00112318	0.00426787
0.00700137	0.00677141	0.00403731
0.00199951	0.00942952	0.00362366
0.00928548	0.00150251	0.00160312
0.00151878	0.00504894	0.00994212
0.00606052	0.00713526	0.00535181
0.00865249	0.00472617	0.00155702
0.00192855	0.00208367	0.0085741
0.00718072	0.00553904	0.00647507
0.000623844	0.00528112	0.00649995
0.00842608	0.00841618	0.00862742
0.00847561	0.00243782	0.00485267
0.00943943	0.00356132	0.00465946
0.00761559	0.00267721	0.00317656
0.00292438	0.00390948	0.00515283
0.00919291	0.00534377	0.00124546
0.00859959	0.00950876	0.00425112
0.00817128	0.00405583	0.00618427
0.00468859	0.00174322	0.00286441
0.00912307	0.00989656	0.00667868
0.0046067	0.0031588	0.00284047
0.00441546	0.00565156	0.00556324
0.00914903	0.00184186	0.00875639
0.00674752	0.00889002	0.00304585
0.00869995	0.00214626	0.00277243
0.00791879	0.000920195	0.00232768
0.0088938	0.00964998	0.00232532
0.00962889	0.00478132	0.00288105
0.00150078	0.000807338	0.00988329
0.00909427	0.0066539	0.00427189
0.00183532	0.00982893	0.00981961
0.00969946	0.00580521	0.00716031
0.00918784	0.00714423	0.00276111
0.00262244	0.00391572	0.00351013
0.00185677	0.00929918	0.00599354
0.000376624	-7.00068e-05	0.00587734
0.00414032	0.00930176	0.00601689
0.00332806	0.00981412	0.00354957
0.00656987	0.00603205	0.0059519
0.00187235	0.00544001	0.00655396
0.00410248	0.00874561	0.00386423
0.00688668	0.00379783	0.000459025
0.00909203	0.00252976	0.00241454
0.00575516	0.00665196	0.00395495
0.00357337	0.000625305	0.00355505
0.00330179	0.00404024	0.00106157
0.00373402	0.00680407	0.00928515
0.00655521	0.00198785	0.00263193
0.00603825	0.00165296	0.00350342
0.000462911	0.00639253	0.00892085
0.00562948	0.00388388	0.00508945
