x	y	z
0.00523663	0.000379663	0.00436739
0.00863072	0.00210364	0.0026519
0.00807935	0.00810401	0.00230988
0.00192741	0.00141233	0.00670837
0.00885587	0.00900359	0.00519033
0.000873183	0.00820406	0.00218193
0.00941164	0.00711324	0.00948234
0.00678858	0.00338001	0.00934602
0.004232	0.00703641	0.00773253
0.00264772	0.00487605	0.00698293
0.00435756	0.00942478	0.00735405
0.000991467	0.00444284	0.0051462
0.00571914	0.00610488	-3.3617e-05
0.00779663	0.0041881	0.00699333
0.00572683	0.000116663	0.00425441
0.00307338	0.00643693	0.00207425
0.000961419	0.00196915	0.000184834
0.000745448	0.00482869	0.00789033
0.000118736	0.00583044	0.00736826
0.00976766	0.00633757	0.000844012
0.00639073	0.00192766	0.00481035
0.00884283	0.00735594	0.00505085
0.00616664	0.00571436	0.0039671
0.00346501	0.00679942	0.00774442
0.00716912	0.00102668	0.00972907
0.00361988	0.000660887	0.00282413
0.00173457	0.00730564	0.00719242
0.000889194	0.00669096	0.00579562
0.00418466	0.00207196	0.0086393
0.00935257	0.00435116	0.00270168
0.00868954	0.00966158	0.00311873
0.00929028	0.00801358	0.00721218
0.00782955	0.000151243	0.000597511
0.0028436	0.00256844	0.00314363
0.00571473	0.00249162	0.00807929
0.00320552	0.00654382	0.00481149
0.00963948	0.0096428	0.00539211
0.00412218	0.00941954	0.00883878
0.00979419	0.00361886	0.00621508
0.00278299	0.0054917	0.00210432
0.000656966	0.00886611	0.001523
0.00952075	0.00351967	0.000135538
0.00251115	0.00399492	0.000115785
0.00324038	0.000726528	0.00465742
0.00506237	0.000587	0.00660314
0.00436054	0.000987898	0.000488814
0.00607927	0.00286481	0.00404682
0.00144361	0.0078392	0.00460239
0.00843218	0.00759115	0.00765688
0.00751026	0.0027651	0.00341588
0.00347288	0.00248578	0.00897454
0.00672208	0.00703398	0.0080809
0.0023933	0.00876841	0.00445932
0.00940677	0.0027717	0.00521859
0.00386696	0.00250214	0.00234083
0.00980484	0.00988304	0.00224317
0.00466725	0.00517739	0.00229567
0.00341492	0.00946822	0.00787389
0.00909193	0.00241415	0.00350832
0.00057918	0.00712649	0.00405262
0.000809918	0.00946824	0.00131632
0.00572956	0.00818668	0.000518973
0.00369156	0.000598821	0.000101701
0.00484168	0.00775609	0.00185816
0.00266272	0.0038674	0.00902397
0.00927189	0.00684548	0.00752957
0.00617376	0.0090812	0.00308785
0.00539077	0.00777715	0.00945315
0.00296185	0.00976441	0.000535008
0.00621699	0.00703826	0.00885558
0.000608468	0.00718092	0.00130637
0.00217753	0.0030178	0.00350833
0.00921643	0.00161494	0.00748972
0.00801498	0.00631695	0.00141458
0.00236858	0.00818602	0.000430495
0.00292069	0.00426081	0.00617001
0.00250305	0.00335944	0.00147177
0.00152744	0.00636608	0.00573053
0.00405134	0.00534146	0.00885134
0.00590895	0.0051087	0.00820094
0.00422849	0.00167417	0.000746971
0.00588153	0.00318473	0.00100602
0.00577892	0.00985348	0.00167652
0.00735913	0.00849106	0.00887992
0.00282254	0.00491327	0.00625644
0.000919298	0.00106387	0.00721187
0.00301559	0.00988282	0.00912303
0.00176334	0.00702424	0.0092554
0.0060304	0.00805904	2.6314e-05
4.46393e-05	0.00415929	0.00513814
0.00942027	0.00199051	0.00995617
0.00274988	0.00791831	0.00381926
0.00769481	0.004297	0.00134561
0.0082313	0.00102505	0.00316064
0.00594668	0.00248306	0.00666661
0.000128254	0.0071584	0.00740126
0.00703978	0.00322375	0.0053616
0.00341746	0.000930194	0.00407863
0.00919689	0.0097642	0.00525232
0.00455342	0.00657428	0.00269362
