x	y	z
0.00444874	0.00632928	0.00697419
0.00164162	0.000494145	0.00205392
0.00460795	0.00500862	0.00415913
0.00310687	0.00208755	0.0084576
0.00419353	0.00296657	0.00711433
0.000287694	0.00822679	0.00991316
0.00941164	0.00688689	0.008706
0.00101873	0.00449319	0.00926712
0.00967419	0.0062836	0.00451815
0.00357658	0.00473116	0.00588967
0.00319008	0.00125018	0.00522917
0.00324075	0.00777788	0.00215606
0.00555449	0.00667194	0.00667193
0.00474415	0.0060686	0.0100349
0.00277669	0.00364725	0.00293109
0.00675377	0.00874069	0.00356013
0.00733763	0.00318805	0.00687662
0.00986006	0.00542738	0.000916397
0.00259589	0.00728728	0.00859447
0.00452524	0.00465863	0.000958264
0.00350098	0.00100029	0.00118008
0.00922596	0.00113084	0.00049309
0.00894792	0.00538852	0.00615504
0.000348558	0.0014728	0.00641173
0.00900638	0.00584093	0.0039262
0.00408817	0.00318293	0.00802084
0.00380793	0.00331153	0.00142049
0.00308604	0.00602255	0.0047106
0.00340116	0.00660486	0.00506114
0.00517718	0.00681788	0.000732132
0.00356172	0.00709678	0.00953053
0.000954296	0.00107586	0.00599776
0.00494438	0.00130701	0.00678845
0.00914598	0.00673945	0.000747119
0.0010389	0.000290526	0.00195519
0.00894191	0.00237875	0.00470309
0.00829974	0.00439562	0.00708114
0.00111464	0.00992412	0.00293682
0.00267227	0.00714773	0.00047247
0.00171538	0.00117189	0.000400894
0.00108571	0.00907827	0.00349351
0.00372801	0.00516526	0.0097314
0.0055526	0.00488632	0.00622238
0.00401528	0.00675299	7.27986e-05
0.00973103	0.00190014	0.00779221
0.00649658	0.00090199	0.00466039
0.0032024	0.00430388	0.0032606
0.00292205	0.00275508	0.00720941
0.00916168	0.00667211	0.00724788
1.35041e-05	0.00691895	0.00490751
0.0010548	0.00907956	0.00493808
0.00944964	0.00252464	0.00216495
0.00998469	0.000131966	0.00863833
0.00940677	0.00715502	0.00918059
0.00586942	0.00861535	0.00996431
0.0027123	0.00976541	0.00581698
0.00529259	0.00696224	0.00548318
0.00107468	0.00887685	0.00865106
0.00623313	0.00921939	0.00170201
0.00929722	0.00203589	0.00326453
0.00359164	0.00647387	0.00808165
0.00552901	0.00503842	0.00351298
0.00387842	0.000598889	0.00166446
0.00621736	6.86918e-05	0.00314361
0.0022686	0.00849102	0.00985973
0.00816199	0.00781108	0.0076724
0.00532482	0.00359577	0.00892831
0.00577392	0.00277594	0.00676223
0.00790829	0.00739168	0.00983804
0.00754025	0.00927893	0.00753896
0.00802433	0.00539698	0.00733015
0.0018406	0.00910262	0.000943055
0.00467472	0.0025473	0.00471265
0.00390402	0.00567324	0.00783716
0.00322779	0.00937867	0.0077664
0.00579738	0.00381122	0.00851108
0.00455304	0.00827565	0.00456094
0.00392443	0.00484126	0.00280542
0.00731293	0.00385346	0.00838199
0.000154666	0.00583544	0.00449757
0.00422858	0.000690313	0.00534661
0.00220788	0.00549447	0.00529633
0.00755975	0.00360983	0.00434199
0.00960108	0.00720696	0.00899574
0.00788897	0.00695275	0.00659317
0.00599899	0.00417831	0.00645512
0.00283381	0.0018561	0.00354946
0.00744355	0.00932207	0.00544818
0.00752321	0.00430225	0.00702025
0.00182468	0.00607338	0.00770895
0.00241315	0.0021294	0.00711628
0.00899418	0.00895636	0.00149027
0.00770953	0.00204613	0.00296511
0.00185337	0.00739453	0.000332839
0.00410759	0.00528765	0.00351389
0.000609015	0.00736248	5.33497e-05
0.0033297	0.0076402	0.00697797
0.00194598	0.00562684	0.00452006
0.00211256	0.0020832	0.00127869
0.00956687	0.00885248	0.00126285
