x	y	z
0.00763614	0.0081118	0.00908187
0.00672227	0.00328873	0.00803562
0.00437127	0.00415738	0.00525018
0.00139223	0.00796139	0.00314809
7.51361e-05	0.00548123	0.00440533
0.00981025	0.00657958	0.00132096
0.00816782	0.00700294	0.00725586
0.00061769	0.00885462	0.00938231
0.000184625	0.000435063	0.00688537
0.00546473	0.0049658	0.00336995
0.00779611	0.00329309	0.00397583
0.00912308	0.00817263	0.00650448
0.00728409	0.000907019	0.00485185
0.00175803	0.00575518	0.00348889
0.00706703	0.00147869	0.00945313
0.00152527	0.00368522	0.00442689
0.00376464	0.0076522	0.00340815
0.00570713	0.0094839	6.22797e-05
0.00957104	0.00270022	0.00552894
0.00110305	0.0052583	0.00993197
0.0031726	0.00755812	0.00753305
0.00114672	0.00210481	0.0033597
0.00490087	0.00745653	0.000525301
0.00759036	0.00142098	0.00616266
0.00633412	0.00115047	0.00499011
0.0056687	0.00868098	0.0095969
0.00666827	0.0078854	0.0084783
0.00823525	0.00206836	0.00944289
0.00764487	1.27599e-05	0.00576591
0.000236155	0.00584417	0.00426747
0.00396164	0.000954889	0.00146737
0.00295146	0.000227887	0.00314402
0.00911749	0.000836507	0.00513282
0.00987249	0.00682229	0.00411152
0.00783907	0.00163572	0.0053089
0.00218788	0.00244739	0.00914771
0.00216675	0.0029163	4.3924e-05
0.00826961	0.00826517	-6.80998e-05
0.00275142	0.00958418	0.000272489
0.0042537	0.00232853	0.00575917
0.00145367	0.00792812	0.00524709
0.00301516	0.00343873	0.00471832
0.00799856	0.00103114	0.0043511
0.00805559	0.00711606	0.00401146
0.00824555	5.4686e-06	0.00214413
0.00245254	0.0098879	0.00169315
0.0097291	0.0061318	0.00349772
0.00828141	0.00985833	0.00826842
0.00733876	0.00498324	0.00533369
0.00722908	0.0082343	0.008157
0.00453143	0.00965598	0.0091937
0.00548298	0.00189051	0.00163819
0.00102787	0.00175046	0.00055653
0.00589299	0.00465352	0.0048403
0.000770019	0.00150859	0.0098721
0.00454245	0.000766357	0.00316872
0.00920312	0.00436565	0.00997469
0.00458559	0.00106373	0.00750922
0.00126524	0.00843288	0.00431249
0.00694221	0.0021941	0.00350031
0.0028212	0.00762361	0.00923476
0.00174396	0.00509663	0.0008355
0.00901703	0.00114415	0.000908461
0.00670634	0.000304273	0.00680041
0.00910697	0.00903473	0.00354728
0.0098121	0.00287867	0.0037477
0.00239959	0.00560402	0.00985151
0.00957177	0.000924314	0.00772449
0.00986084	0.00060311	0.00553758
0.00337212	0.00602037	0.00373333
0.00453883	0.00380399	0.00769159
0.00400684	0.00154733	0.00554356
0.00447218	0.00351833	0.00202806
0.00654229	0.00639715	0.00348221
0.00491726	0.00325196	0.0062035
0.00877339	0.00465542	0.00535922
0.00495668	0.0067555	0.00460854
0.00880327	0.00986574	0.0078762
0.000122129	0.000412513	0.0018736
0.000434409	0.000981802	0.00605881
0.00997312	0.00276128	0.00131021
0.00854493	0.00376217	0.00578385
0.00592958	0.00216582	0.000338999
0.00455688	0.00907441	0.000252863
0.00850681	0.00057634	0.00615751
0.00609292	0.00353201	0.00143876
0.00309817	0.00479024	0.00579146
0.00744432	0.0059083	0.00530198
0.00555078	0.0097658	0.00787506
0.00110931	0.00443228	0.00803174
0.00349405	0.00706604	0.0022692
0.000824613	0.00434231	0.00605409
0.0053584	0.00383626	0.00849057
0.00538384	0.00363382	0.00619688
0.00953736	0.00602139	0.000273379
0.00968332	0.00706571	0.00749547
0.00872523	0.00816894	0.00462733
0.00409384	0.00981766	0.00389827
0.00384117	0.00498768	0.0027302
0.00187991	0.00466257	0.00458263
