x	y	z
0.0075001	0.0043813	0.00389198
0.000349277	6.465e-06	0.0060849
0.0099729	0.0098067	0.00290129
0.0028699	0.00221482	0.00421158
0.00958523	0.00713993	0.00886883
0.00406938	0.00884261	0.00847083
0.00218417	0.00835224	0.00340685
0.00438433	0.0093186	0.00928157
0.00344236	0.000292911	0.00176657
0.00232886	0.00471675	0.00992233
0.00177769	0.00462458	0.00667143
0.00671697	0.00635456	0.00265279
0.00884903	0.000245469	0.00686352
0.00925585	0.00180529	0.00553891
0.00337914	0.00298946	0.00935807
0.00873817	0.0043887	0.00620216
0.00618111	0.000869267	0.00549708
0.00804786	0.00342253	0.0061847
0.00181419	0.00862268	0.00937919
0.00507906	0.0029261	0.00535024
0.00796694	0.00338496	1.5689e-05
0.00252471	0.00750158	0.00657418
0.00873112	0.00902664	0.00717755
0.00883137	0.00408605	0.00342193
0.00865392	0.00490405	0.00257232
0.000107238	0.00661289	0.00912811
0.00114674	0.00126729	0.00521323
0.00157555	0.00223543	0.00266068
0.0019214	0.00572411	0.00628986
0.00833621	0.00141983	0.00161972
0.00901008	0.00844686	0.003896
0.00494862	0.00631767	0.00988388
0.00505788	0.00121515	0.00829336
0.00542888	0.00492415	0.00388149
0.00730891	0.00785792	0.000450901
0.00265031	0.00710035	0.00284807
0.00619644	1.63925e-05	0.000488427
0.0031831	0.00529876	0.00898129
0.0080528	0.0074873	0.00219903
0.00474342	0.00394856	0.00380609
0.00103347	0.00949005	0.006792
0.00100677	0.00038913	0.00816607
0.00472075	0.0083471	0.00199716
0.00777891	0.009488	0.00451303
0.00684495	0.00164496	0.00105413
0.00104228	0.00489243	0.00439236
0.00143838	0.00288168	0.00200474
0.00118632	0.00366114	0.00734176
0.00890823	0.000260376	0.00948397
0.00637912	0.00195051	0.00824828
0.00236393	0.00545276	0.00572163
0.00891958	0.00731578	0.00054411
0.0085046	0.00562987	0.00217375
0.00706354	0.00399443	0.00029881
0.00783424	0.00968108	0.00455931
0.000217945	0.00598872	0.00814099
0.00335492	0.00661681	0.00876728
0.00229579	0.00732917	0.00852966
0.00289353	0.00824294	0.00215406
0.00493468	0.00420661	0.00200133
0.00275764	0.00726375	0.00285386
0.00723356	0.00635986	0.00293141
0.00985789	0.000365637	0.00131944
0.00985106	0.0050315	0.00171553
0.00678705	0.00682014	0.00886523
0.00818601	0.00430543	0.0077039
0.00717384	0.00487869	0.00602137
0.00360344	0.00010544	0.00749641
0.00920984	0.00818275	0.0038705
0.00875772	0.00884347	0.00434425
0.00634345	0.00684086	0.00998075
0.00105246	0.00439048	7.91337e-05
0.00195655	0.00177538	0.00156504
0.00171196	0.00888326	0.00993202
0.00214191	0.0071023	0.00971606
0.00817038	-3.90902e-06	0.00577982
3.55492e-05	0.00130761	0.00510737
0.00432442	0.000565693	0.00538911
0.00909427	0.00609953	0.00766635
0.0030298	0.00813854	0.00209334
0.00969947	0.000216467	0.00444086
0.00845308	5.01172e-05	0.00822154
0.00936855	0.00878739	0.0045668
0.00695036	0.00746824	0.00506945
0.00296673	0.000668261	0.00643931
0.00793286	0.00426741	0.00302523
0.0028854	0.000373418	0.00497458
0.00177387	0.00567337	0.00447894
0.00890933	0.00503212	0.00173586
0.00183893	0.000446544	6.11597e-06
0.0001077	0.00254628	0.00378736
0.00913736	0.00586074	0.00586257
0.00469702	0.00132837	0.00122088
0.0077045	0.00604585	0.00476139
0.00215234	0.00377313	0.00228772
0.00337343	0.00732513	0.00627069
0.00396988	0.00525056	0.00638591
0.00217542	0.000800991	0.00428779
0.00771374	0.00414476	0.0038766
0.00929493	0.0064327	0.00435227
