x	y	z
0.00211198	0.000218194	0.00451446
0.000378652	0.00490021	0.00472386
0.00121543	0.000752004	0.00924459
0.000668215	0.00661729	0.00340018
0.00546524	0.00247296	0.00283805
0.00293888	0.00436466	0.0060949
0.00343351	0.00634214	0.00107575
0.00350277	0.00904023	0.00943164
0.000974506	0.00936301	0.000376209
0.0092916	0.00508772	0.00973862
0.00753179	0.0022279	0.00057821
1.02486e-05	0.00500813	0.00838949
0.00497785	0.00109603	0.0042771
0.00759702	0.000739479	0.00229834
0.00890524	0.00364812	0.00926358
0.00783312	0.00253277	0.00673888
0.00299132	0.000685947	0.00778704
0.00757973	0.00421264	0.00331744
0.0044866	0.00151929	0.00303007
0.00321858	0.00855779	0.00276135
0.00908343	0.00663074	0.00880021
0.00359519	0.00151339	0.00535629
0.0032341	0.00529794	0.00649921
0.0061403	0.00606853	0.00206077
0.00519855	0.00412035	0.00576382
0.00168782	0.000508895	0.00124854
0.00917136	0.00129779	0.00966561
0.00658749	0.00596679	0.00293197
0.0076883	0.00278423	0.00186242
0.00512559	9.22639e-05	0.00667922
0.00107706	0.0045994	0.000690579
0.00156215	0.00315715	0.0099446
0.00910633	0.00177628	0.00723086
0.00712542	0.00741149	0.00595555
0.00917071	0.00425095	0.00135069
0.00237276	0.00758647	0.00500153
0.00859164	0.00645854	0.000213152
0.00613066	0.00510878	0.00477727
0.000222377	0.00774004	0.00916615
0.00621258	0.00587718	0.00345554
0.00247115	0.00664958	0.00548009
0.00580165	0.00573906	0.00901211
0.00224989	0.00845335	0.00276409
0.00385047	0.0042214	0.00859741
0.000860615	0.000815833	0.00333319
0.00460941	0.00242341	0.00468309
0.00397149	0.00945823	0.00664187
0.00149544	0.0067041	0.00564049
0.00617062	0.000291834	0.00268059
0.00721877	0.00298468	0.00335345
0.00463224	0.00800765	0.00670223
0.00379966	0.00682257	0.00706789
0.00570644	0.000429402	0.00017654
0.00737158	0.00482925	0.00736201
0.00715431	0.00700797	0.00717457
0.00311285	0.00845642	0.00947836
0.00463864	0.0032629	0.000315573
0.00448383	0.00822423	0.00700954
0.0093572	0.0034205	0.00536943
0.0083388	0.00448518	0.00665537
0.00555337	0.0051176	0.00723587
0.00364903	0.00089882	0.00268332
0.00901703	0.00188496	0.00200444
0.00478934	0.00238676	0.0086619
0.00945068	0.00657408	0.00053111
0.00943762	0.00374793	0.000726402
0.00268538	0.000915972	0.007406
0.00267788	0.00833743	0.00537613
0.000836391	0.00521654	0.00676644
0.000473573	0.00463758	0.00636495
0.00987811	0.00074571	0.00367576
0.00649234	0.00056755	0.00830845
0.00407256	0.00611387	0.00184269
0.000787079	0.00367012	0.00990116
0.00838415	0.00845802	0.00598565
0.00952679	0.0033076	0.00110185
0.00795006	0.000471348	0.00694837
0.00438581	0.00474615	0.000854797
0.00522589	0.00625352	0.00924652
0.00904196	0.00443458	0.00176533
0.0096083	0.00423845	0.00414015
0.00817755	0.00607186	0.00500379
0.00520493	0.00140376	0.00140589
0.00639006	0.00986451	0.00732192
0.00390205	0.000945111	0.00602353
0.00594178	0.00681837	0.0067371
0.00321291	0.00243014	0.00126538
-3.92557e-05	0.00365579	0.00475512
0.00587063	0.00791955	0.00880759
0.0025555	0.00377709	0.00806812
0.00454011	0.00790013	0.00824145
0.00571654	0.00620364	0.0077143
0.0041238	0.00516754	0.00178014
0.00383156	0.0028516	0.00831341
0.00333052	0.00918212	0.00097399
0.00247195	0.00693962	0.00768372
0.00902303	0.00509666	0.00360848
0.0050334	0.00541583	0.00370746
0.00153406	0.00498768	0.00639872
0.00174545	0.00013145	0.00550411
