x	y	z
0.00206671	0.00913913	0.000334916
0.00387423	0.000888087	0.00691335
0.000663154	0.000519833	0.00068206
0.00246777	0.00966515	0.00321294
0.00148034	0.00628752	0.00776732
0.00882937	0.00991815	0.00580624
0.00481436	0.00798509	0.00991223
0.00614744	0.00170974	0.00930898
0.00837806	0.00532658	0.00224132
0.00020283	0.0047845	0.00281881
0.000822295	0.00480211	0.00921912
0.00722894	0.00302808	0.00370059
0.000941937	0.0091291	0.00456448
0.00288596	0.00569235	0.00236447
0.00438847	0.00177347	0.000476839
0.00780393	0.00323674	0.00884449
0.00540783	0.00820204	0.00306527
0.0043028	8.6528e-05	0.00463483
0.00963587	0.00901622	0.00924041
0.00251288	0.00334716	0.00752273
0.00415774	0.0086842	0.0020363
0.0076301	0.00640784	0.00805042
0.0077271	0.000906365	0.00930104
0.000658489	0.00811821	0.00124408
0.0080228	0.00325417	0.00586053
0.0068979	0.00742003	0.00401704
0.00998119	0.00236522	0.0030365
0.00981435	0.00435172	0.000912386
0.000659213	0.00416998	0.0084584
0.00319921	0.00609792	0.00254383
0.00147772	0.000346949	0.00758709
0.00477496	0.00446761	0.00259755
0.0061256	0.000667713	0.00442973
0.00413627	0.00171469	0.0094123
0.00795276	0.00160584	0.00668947
0.0083864	0.00460031	0.000394755
0.000128598	0.00479735	0.00856318
5.29566e-05	0.00705246	0.00256838
0.00251614	0.00260106	0.0071461
0.00999678	0.00688006	0.00981555
0.000392131	0.00980761	0.00814622
0.0038755	0.00977208	0.00466522
0.00839829	0.00742621	0.004786
0.00567637	0.00570892	0.00694933
0.0017519	0.00119475	0.00937764
0.00900612	0.00822273	0.00273101
0.00175835	0.000423156	0.00860675
0.00860513	0.00542518	0.00231898
0.00840821	0.00346912	0.00824135
0.00246075	0.00622506	0.00534365
0.00841276	0.00429894	0.00710601
0.00798443	0.00435654	0.00540655
0.00590166	0.00447421	0.00921154
0.00558494	0.00127029	0.00109269
0.00866197	0.00662609	0.00487631
0.00400634	0.000823752	0.00779808
4.57473e-05	0.00600422	0.00548319
0.00840195	0.000168671	0.00825201
0.00299221	0.0036863	0.00274134
0.00545839	0.00792094	0.00862742
0.00123959	0.00865585	0.00623646
0.00979036	0.00869197	0.00190485
0.00126239	4.32524e-05	0.000710546
0.003777	0.00535207	0.00973608
0.00352196	0.00288314	0.0017217
0.00862135	0.00306654	0.000798334
0.0100237	0.00747719	0.00374081
0.000220345	0.00527737	0.0088012
0.00400355	0.000272851	0.00650317
0.00911556	0.00807527	0.0012427
0.00337731	0.00938935	0.00516165
0.000316406	0.0073312	0.00143575
0.00275505	0.000333222	0.00748828
0.00239705	0.000702637	0.00641394
0.000216279	0.000594821	0.00536995
0.00256385	0.00673136	0.00275713
0.00946901	0.00632519	0.0098169
0.00837573	0.00230554	0.000573911
0.00796086	0.00979532	0.000643336
0.00780768	0.0088843	0.00223912
0.00112902	0.000596283	0.00287194
0.000554425	0.00994888	0.00334616
0.00304407	0.00208884	0.00347369
0.000838052	0.00790592	0.00183512
0.00555684	0.00989661	0.00636337
0.00338181	0.00224015	0.00357924
0.00294521	0.00441943	0.00748929
0.0087924	0.000293162	0.00447894
0.00251208	0.00632019	0.0074865
0.00103531	0.00699844	0.00218995
0.00457736	0.00922122	0.0020253
0.00641883	-1.74893e-05	0.0065011
0.000552171	0.00747104	0.00867768
0.00202419	0.00546507	0.00730812
0.00129026	0.00110202	0.0073675
0.00950346	0.00725472	0.00250262
0.00525186	0.00155692	0.00587862
0.00269743	0.00761675	0.00418179
0.00244041	0.0047067	0.00708658
0.00727725	0.00204306	0.00988112
