x	y	z
0.00342505	0.00686835	0.00816045
0.00399172	0.00398123	0.00253437
0.00839497	0.00872323	0.00696988
0.0010804	0.00167297	0.00895513
0.00634327	0.00334669	0.0039671
0.00430738	0.00563669	0.0033637
0.00612945	0.00671846	0.00774377
0.00678857	0.000225081	0.00940354
0.00897034	0.0048517	0.00373342
0.00711242	0.00501827	0.00220644
0.00981171	0.00853029	0.00200067
0.00620501	0.00461212	0.0073155
0.00506021	0.00969614	0.00398972
0.00434572	0.00845091	0.00963922
0.00787067	0.00240173	0.000665802
0.00424214	0.00963651	0.00818391
0.00521451	0.00673549	0.00529443
0.00860962	0.00781201	0.0072696
0.00350888	0.000869947	0.00445255
0.00892831	0.0050314	0.00498816
0.00284422	0.00139774	0.00912556
0.00631258	0.00263446	0.00686943
0.00426322	0.00488364	0.00287157
0.00165518	0.00193557	0.0027219
0.00584544	0.00242922	0.00605396
0.00888826	0.00671378	0.00648739
0.000116057	0.00504905	0.00244285
0.00185018	0.00724771	0.00663956
0.00966863	0.00119125	0.00408518
0.00619579	0.00786801	0.00573201
0.00868956	0.00723187	0.00739282
0.0091166	0.00739687	0.00247611
0.00980925	0.00121515	0.0088729
0.0026821	0.00931042	0.00839832
0.00983065	0.00545327	0.008729
0.00635101	0.00390585	0.00835438
0.00204476	0.00147499	0.00911373
0.00933906	0.00690632	0.00655864
0.00995109	0.00260106	0.00409541
0.00839406	0.00472001	0.00961524
0.00181378	0.00737293	0.00933117
0.000760875	0.00417523	0.00740755
0.00472075	0.0072137	0.00562265
0.00290986	0.00916638	0.00264998
0.00429842	0.000354375	0.0087831
0.00519011	0.00454791	0.00298021
0.0072512	0.00804458	0.00373384
0.00600855	0.00851224	0.00426328
0.00668314	0.00353203	0.00395428
0.00414005	0.00539773	0.00319208
0.00921927	0.0019913	0.00812122
0.00475818	0.00463837	0.00208388
0.00303843	0.00942704	0.00826049
0.000163388	0.00056729	0.00592602
0.00351819	0.0038766	0.0024988
0.00121865	0.00449662	0.00635783
0.0081475	0.0038908	0.00557978
0.00931787	0.00446497	0.00729413
0.00328826	0.00809105	0.00476747
0.00109414	0.000677993	0.00373674
0.00399737	0.0065445	0.00208508
0.00056583	0.00328924	0.0016311
0.0003281	0.00146312	0.00138033
0.00175231	0.00775638	0.000140065
0.0011161	0.00337527	0.00918272
0.00988385	0.00864154	0.00957415
0.000191795	0.00357944	0.00260053
0.00660355	0.0030362	0.00671354
0.00617284	0.0067326	0.00246641
0.00170814	0.00542498	0.000584797
0.00683781	0.00182882	0.00861534
0.00507774	0.00752725	0.00673425
0.000758808	0.00463566	0.0095244
0.00342469	0.00615638	0.00635222
0.00641038	0.00178786	0.00957119
0.000393585	0.00987449	0.00765101
0.002274	0.00735444	0.00784746
0.00309675	0.00771839	0.0040248
0.00219524	0.00246533	0.00356959
0.00414463	0.00137695	0.00267645
0.00149372	0.00340421	0.00253201
0.00294239	0.00384464	0.00315114
0.00125214	0.00924411	0.000285453
0.00012495	0.00941589	0.00564701
0.00483737	0.00786637	0.00610137
0.00243368	0.00474043	0.0064601
0.00315159	0.00165466	0.00384296
0.00715474	0.00181755	0.00650425
0.000592902	0.00923982	0.000647896
0.00173178	0.00951	0.0097242
3.3206e-05	0.000599419	0.00222108
0.00293004	0.000178452	0.000115849
0.00125768	0.0085972	0.00581924
0.00667172	0.00527148	7.00444e-05
0.00686506	0.00809142	0.00841849
0.00481579	0.00701179	0.00382144
0.00967471	0.00888263	0.00412845
0.00449834	0.0032149	0.00381611
0.0085377	0.00639253	0.00433517
0.000316265	0.00883992	0.0088675
