x	y	z
0.00301755	0.000758857	0.00392162
0.000202404	0.00504964	0.00590737
0.00279335	0.00229982	0.00961446
0.000601193	0.00797189	0.00215188
0.00411443	0.00233089	0.00265447
0.00412888	0.00415783	0.006539
0.00299515	0.00628095	-8.47589e-06
0.00189994	0.00718441	0.00943621
0.00294879	0.00841326	0.00105443
0.00964594	0.00509901	0.00912624
0.00709752	0.00400322	0.00100282
0.00103418	0.00659216	0.00856413
0.00662516	0.00298616	0.00236123
0.00626996	0.0004887	0.000975655
0.00907346	0.00385079	0.00737396
0.00841702	0.00125281	0.00591316
0.00105812	0.00190808	0.00819235
0.00695555	0.00362737	0.00176757
0.00579021	0.00191283	0.00279878
0.00193549	0.00750514	0.00239927
0.00776991	0.00795556	0.00845773
0.00194829	0.0013311	0.00511025
0.00306677	0.00695514	0.00708907
0.00414691	0.00674056	0.00283857
0.00509336	0.00439533	0.00769807
0.000517019	0.000408002	0.000396698
0.00946584	0.000687826	0.00847831
0.00796062	0.00485295	0.00232911
0.00725306	0.00304325	0.001501
0.00369864	0.00110374	0.00683324
0.00267969	0.00324942	0.00107911
0.0032988	0.00161543	0.00885165
0.00892838	0.00186752	0.00658692
0.00874118	0.00687658	0.00503374
0.0090634	0.00585405	0.00015097
0.000522411	0.00619756	0.00445635
0.00965617	0.00726887	0.00204832
0.00560897	0.0048165	0.00335218
0.00132971	0.00942495	0.00999066
0.00532218	0.00433429	0.00245396
0.00257804	0.00653196	0.0046337
0.00662129	0.00409293	0.00842864
0.00339913	0.00774498	0.00229928
0.00495708	0.00341734	0.0071643
0.00170946	0.000890867	0.00531497
0.00295028	0.00357179	0.00495998
0.0034382	0.00904848	0.00506996
0.00273191	0.0064101	0.00726075
0.00608728	0.000920999	0.00247348
0.00908467	0.00436357	0.00442924
0.00362411	0.00965596	0.0064715
0.0036438	0.00541341	0.0078783
0.00614027	0.00108978	0.00169822
0.00860376	0.00570801	0.00759551
0.00774555	0.00751713	0.00875957
0.00382764	0.00730865	0.00879253
0.0040681	0.0031608	0.00128148
0.00346614	0.00703081	0.00696327
0.00975193	0.00266106	0.00546731
0.0065931	0.00510424	0.00507773
0.00580638	0.00488559	0.00877341
0.00415036	0.000510134	0.00285442
0.00714844	0.00195356	0.00210593
0.00585497	0.000783892	0.00995091
0.00893514	0.00821449	0.00211856
0.00936507	0.00250904	0.000582536
0.00316035	0.000482888	0.00903498
0.00203956	0.00919942	0.00515866
-3.13235e-05	0.00389822	0.00501132
0.000831419	0.00450955	0.00730481
0.00963093	0.00117046	0.00287257
0.00672236	0.00135174	0.00856441
0.00487106	0.00635423	0.0036937
0.00147217	0.00527416	0.00928395
0.00870508	0.0095426	0.0052613
0.00771824	0.00218505	0.00254122
0.00635117	0.00175791	0.00609209
0.00561348	0.00426286	0.00165733
0.00571867	0.00686948	0.00807602
0.00983828	0.00493176	0.00249423
0.00869655	0.00437409	0.00440164
0.0100144	0.00442207	0.00305364
0.00625901	3.36027e-05	0.00158808
0.00740878	0.00993746	0.00616681
0.005341	0.000760544	0.00601087
0.00404551	0.00715624	0.00562908
0.00322287	0.00310448	0.000846258
0.0011305	0.0045525	0.00659631
0.00693684	0.00770487	0.00974013
0.00268944	0.00268511	0.00770415
0.00528505	0.00929075	0.00922037
0.00616963	0.00718335	0.00899135
0.00500568	0.00414376	0.00302294
0.00555287	0.000915691	0.0096538
0.0027558	0.00873694	0.00062366
0.00367392	0.00692788	0.00956776
0.00880937	0.00448105	0.00352393
0.0051204	0.00683578	0.0036898
0.00318197	0.00686081	0.00487017
0.00208173	0.00126426	0.00458264
