x	y	z
0.000844193	0.00767934	0.000423842
0.00466734	0.00108981	0.00531562
0.00137322	0.00152591	0.000182734
0.00237729	0.00783643	0.00489815
0.000332143	0.00609573	0.00751948
0.00722287	0.00963892	0.0052067
0.00540615	0.00790249	0.00866536
0.00398362	0.00421509	0.00931514
0.00906905	0.00660874	0.00315693
0.000255981	0.00479975	0.00116541
0.00140856	0.00240543	0.00979235
0.00584664	0.00516653	0.00393635
0.00316581	0.00657742	0.0071509
0.00109443	0.0073851	0.00415009
0.00461557	0.00149987	0.00302783
0.00701566	0.00496468	0.00772976
0.00801765	0.00985192	0.00251811
0.00346016	0.000876634	0.00254251
0.00865816	0.00848494	0.00892816
0.00424505	0.00476824	0.00801154
0.00238449	0.00689571	0.00249864
0.00540678	0.00616175	0.00838257
0.00750119	0.00314358	0.00850473
0.00334956	0.00902545	0.00229411
0.0078808	0.00288294	0.0032493
0.00847848	0.00605798	0.00286705
0.00814068	0.00318867	0.000365069
0.00837256	0.00585541	0.00172625
0.00124678	0.00382031	0.00894632
0.00127284	0.00780479	0.00275175
0.000596275	0.00135944	0.00982117
0.00243048	0.00238629	0.000958126
0.00636584	0.000544539	0.00356041
0.00631754	0.000992563	0.00936621
0.00809763	0.00377002	0.0083091
0.00921906	0.00272528	0.00113075
0.00156572	0.0058913	0.0060857
0.000600732	0.00744704	0.000644507
0.000380568	0.00487569	0.00825918
0.00879474	0.00479715	0.00886406
0.000247829	0.00964883	0.00700359
0.00498201	0.0075498	0.00387752
0.00684683	0.0064699	0.00541349
0.00418245	0.00462343	0.00501462
0.000605962	0.00109346	0.00670222
0.00676629	0.00667242	0.00235721
0.00247829	0.000115841	0.00648468
0.00977977	0.00582208	0.00450632
0.0082957	0.00431849	0.00796175
-5.82049e-05	0.00808656	0.00389134
0.00977375	0.00652417	0.00741749
0.00777402	0.00245417	0.0065006
0.005316	0.00224544	0.00835559
0.00392151	0.00245661	0.00140791
0.0078638	0.00593872	0.00701607
0.00497131	0.00237324	0.00687221
0.000815985	0.00586639	0.00417921
0.00977583	0.00142176	0.00818954
0.00432442	0.00266106	0.00287348
0.00781509	0.00875666	0.00649761
0.000898032	0.00896907	0.00831215
0.00911356	0.0092167	0.00167387
0.00378498	0.000135852	0.000573545
0.0023384	0.0031882	0.00780255
0.00584189	0.0050977	0.000372365
0.00871931	0.00473904	0.00274052
0.00938245	0.00806186	0.00593992
0.00108208	0.00644106	0.00909478
0.00283213	0.00139342	0.00887257
0.00863247	0.00790242	0.00251151
0.00270992	0.00996276	0.00407735
0.000626928	0.00997785	0.00178131
0.00383301	8.73702e-06	0.00498941
0.00332193	0.0028681	0.00558072
0.000200232	0.000865966	0.00439208
0.0050054	0.0082468	0.00470029
0.00842973	0.00806205	0.00866092
0.00671838	0.00295798	0.000453531
0.0072956	0.00939494	0.000935962
0.0088827	0.00821311	0.00322312
0.00359075	0.000779408	0.00251894
0.00174841	0.00788663	0.00597887
0.00162107	3.36027e-05	0.00322774
0.000481501	0.00800439	0.00339453
0.00749943	0.00740495	0.00634628
0.00594178	0.00178402	0.00507507
0.00295867	0.00532978	0.0080551
0.00966972	0.000876018	0.00199333
0.0010727	0.00661001	0.00958471
0.00085449	0.00847261	0.00268132
0.00558303	0.00734389	0.00334684
0.00580716	0.00130511	0.00477708
0.00174271	0.00885314	0.00973406
0.000216821	0.00807855	0.0054986
0.00206614	0.000501024	0.00500278
0.00788081	0.00723887	-4.08343e-05
0.00554031	0.000725857	0.00576448
0.00281488	0.00953368	0.00415794
0.000215724	0.00217797	0.00502302
0.00682328	0.00395468	0.00891357
