x	y	z
0.00817927	0.00746308	0.00878294
0.00707605	0.00319674	0.00874779
0.00342452	0.0032285	0.00502805
0.00143227	0.00878466	0.00240154
0.000737388	0.00409255	0.00493092
0.00948387	0.00672256	0.00103218
0.00843087	0.00703971	0.00660533
0.00157938	0.00996814	0.00937956
0.00136936	5.54736e-05	0.00729409
0.00525215	0.00495898	0.00410479
0.00753179	0.0022279	0.0042299
0.00850885	0.00722578	0.00639868
0.0062957	0.000150963	0.00600138
0.00255419	0.00500271	0.00269514
0.0069875	0.00133774	0.00945255
0.00117666	0.00291675	0.00384884
0.00492453	0.00691881	0.0031666
0.00533269	0.00912885	0.000837654
0.00970106	0.00293603	0.00566686
0.00219211	0.000452366	0.00688909
0.00396071	0.008353	0.00732756
0.00227767	0.00359148	0.00816114
0.00514174	0.00645798	0.000187713
0.0087317	0.00156595	0.00680537
0.00639767	0.000985578	0.00382958
0.00496607	0.00807583	0.00908551
0.00755171	0.00825135	0.00729101
0.00905913	0.00140005	0.00980458
0.00738363	0.000168122	0.00598265
0.00127284	0.00552896	0.00492341
0.00300022	0.000144452	0.00263326
0.00190948	0.000690403	0.00387266
0.00887499	0.000736143	0.00549222
0.00890275	0.00650214	0.00355886
0.00961067	0.00617467	0.00506984
0.00329794	0.00328084	0.00881779
0.00348188	0.00273101	0.000396669
0.00795658	0.0084408	0.000787016
0.00180428	0.00858249	0.000178981
0.00371946	0.00325426	0.00515822
0.0012526	0.00799042	0.00488761
0.00350666	0.00442215	0.0043443
0.00926022	0.00349473	0.00806288
0.00871952	0.00663359	0.00487131
0.00875484	3.54811e-05	0.000955043
0.00344802	0.00942853	0.00152654
0.00999763	0.00589337	0.0044412
0.00755413	0.00996756	0.00726075
0.00712065	0.00683515	0.00504158
0.00609924	0.00739712	0.00883996
0.00392655	0.00949113	0.00933254
0.00557644	0.002736	0.0021244
0.000760862	0.00075959	0.00169822
0.00663228	0.00518075	0.00470018
0.000414183	0.00120349	0.00923507
0.00497131	0.00145503	0.00275722
0.00886069	0.00442681	0.00939513
0.00397498	0.00177978	0.00753707
0.00185737	0.00797713	0.0042536
0.00798966	0.00256611	0.00444667
0.00266908	0.00776259	0.0098497
0.00204476	0.00532984	0.000732852
0.00995132	0.00110301	0.000847547
0.00734684	0.000623605	0.00765933
0.00996622	0.00805045	0.0025948
0.00974237	0.00213737	0.00288439
0.00268538	0.00585313	0.00887208
0.00995473	0.00144152	0.00785523
0.00933999	7.51031e-05	0.00659092
0.00358684	0.00609716	0.00429725
0.00424243	0.00405875	0.00720976
0.00387016	0.00272408	0.00539043
0.00495091	0.00337377	0.000917183
0.00702144	0.00543456	0.00311189
0.00472546	0.00390279	0.00576835
0.0098885	0.00398112	0.00484423
0.00603139	0.00600355	0.003352
0.00954202	0.00977237	0.0082381
0.000347282	0.000709832	0.00257466
-3.60121e-05	0.00120294	0.00650314
0.00906125	0.00269205	0.00115921
0.00744279	0.00475203	0.00695394
0.00678605	0.00125152	0.000658933
0.0051676	0.00903293	0.000391225
0.00764332	0.00168338	0.00616782
0.00745879	0.00296658	0.000642988
0.00309925	0.00519492	0.00604333
0.00674533	0.00652524	0.00383452
0.00619049	0.00963697	0.00880759
0.00102861	0.00377709	0.00781334
0.00394415	0.00790013	0.00285738
0.000551318	0.00493002	0.00682036
0.00588756	0.00322236	0.00774558
0.00434796	0.00478751	0.00683899
0.00988235	0.0057542	0.00062366
0.00896258	0.0070734	0.00636489
0.00855297	0.00792844	0.00457234
0.00404159	0.00939168	0.00390886
0.00285239	0.00386379	0.00364732
0.00208173	0.00381308	0.00402975
