x	y	z
0.0095829	0.00578702	0.00786403
0.00798666	0.00296513	0.00951707
0.000978739	0.000829395	0.00445475
0.00153616	0.00912331	0.000466672
0.00283115	0.00431276	0.00521548
0.00763937	0.00704316	0.00034383
0.00911033	0.00713455	0.00492477
0.00406376	0.0072772	0.00937248
0.0044295	0.00152758	0.00834534
0.00470292	0.00494148	0.00600315
0.00685867	0.000363807	0.00488805
0.00692176	0.00477052	0.00612799
0.00374237	0.00308067	0.00897098
0.00461114	0.00305918	0.000644985
0.00672676	0.00102361	0.00652363
0.000271618	0.000932825	0.00256896
0.00792099	0.00502451	0.00253838
0.00436522	0.00822169	0.00323995
0.00768045	0.00354602	0.00602537
0.000203327	0.00208398	0.00745031
0.00599666	0.00961157	0.00679672
0.00483037	0.00387403	0.0085425
0.00540111	0.00388932	0.001102
0.00823335	0.0026076	0.00801096
0.00656071	0.000559359	0.000831496
0.00315133	0.006512	0.00776516
0.00983394	0.00919679	0.00422381
0.00885316	0.000230515	0.00929215
0.00670901	0.000569604	0.00654286
0.0034846	0.00356922	0.00468468
0.000516143	0.00183193	0.00564441
0.000780654	0.00308006	0.00575496
0.00859916	0.000594721	0.00449412
0.00639833	0.00567303	0.00213007
0.00944435	0.00368987	0.00321027
0.00616598	0.00543366	0.00797276
0.0051319	0.00398702	0.00324118
0.00714796	0.00889384	0.00299591
0.000617853	0.00597088	0.00145697
0.00233934	0.00564575	0.00360578
0.00108692	0.00817273	0.00357571
0.0047771	0.00697365	0.00343992
0.00747891	0.00239675	0.00878333
0.00966013	0.00538729	0.00709264
0.00998566	0.000151784	0.00204503
0.00601968	0.00764854	0.00109736
0.00917104	0.00525825	0.00687765
0.00563761	0.00951185	0.00474936
0.00724983	0.00781036	0.00536259
0.00320711	0.00525984	0.00953922
0.00236393	0.00693625	0.00969017
0.00581801	0.0049202	0.00338054
8.84361e-05	0.00166761	0.00464649
0.00854215	0.00654282	0.00433826
0.000443745	0.000414279	0.00677831
0.00607924	0.00323407	0.00169419
0.00797634	0.00458506	0.00789797
0.00239756	0.00362958	0.0076088
0.00338694	0.0068	0.00410188
0.0094735	0.00352565	0.00689202
0.00227692	0.00812221	0.0074665
0.00282183	0.0059323	0.000467656
0.00705501	0.000996689	0.00069025
0.00899856	0.00310805	0.0098793
0.00730259	0.00550781	0.000134247
0.0096299	0.000217097	0.000654469
0.00342159	0.00652441	0.00634717
0.009093	0.0027776	0.0081923
0.00799504	0.00211849	0.00931135
0.0041415	0.00629561	0.00575404
0.00347618	0.00471711	0.00596483
0.00351363	0.00576282	0.00499368
0.00618858	0.00300121	0.00193524
0.00808334	0.0029483	0.00215523
0.004228	0.00558389	0.0046456
0.00744695	0.00224118	0.00261319
0.00850967	0.00400939	0.00202477
0.00862127	0.00902327	0.00948203
0.0011111	0.00166458	0.00438894
0.00119827	0.00197356	0.00763293
0.00623482	0.0024818	0.000753906
0.0045956	0.00730921	0.00997668
0.00841988	0.00102316	0.000941319
0.00674661	0.00891986	0.00218166
0.00541295	0.00454417	0.00618743
0.0096395	0.00244288	0.0010308
0.0030838	0.00624014	0.00669296
0.00493221	0.00791513	0.000980677
0.00784312	0.00930422	0.00888531
0.000821006	0.00208452	0.00724918
0.00509882	0.0100556	0.00437471
0.000120883	0.00644857	0.00879979
0.00725448	0.00163551	0.00581924
0.00167993	0.00778816	0.00891658
0.00927889	0.00506417	0.00333871
0.00709953	0.00709159	0.00344464
0.00822179	0.00697426	0.00470339
0.00390674	0.00719076	0.00393624
0.00029812	0.000960427	0.00601658
0.00260297	0.00161826	0.00260146
