x	y	z
2.91846e-05	0.00270524	0.005878
0.00172988	0.00455653	0.00200179
0.00231997	0.00276416	0.00839388
0.000822367	0.00350169	0.00627128
0.00857211	0.00279972	0.0032603
0.000201888	0.00484038	0.00507348
0.00444175	0.00648288	0.00356948
0.00718928	0.00681324	0.00942113
0.00354107	0.00850824	0.00112226
0.00847663	0.00506175	0.0069217
0.00853061	0.0016953	0.000365902
0.00226289	0.00136484	0.00798784
0.00118903	0.00317518	0.0086836
0.0094549	0.00362343	0.0053405
0.00851832	0.00318199	0.00642915
0.00649015	0.00547666	0.00863806
0.00743769	0.00203029	0.00685485
0.00901534	0.00555874	0.00688214
0.00148828	0.000614147	0.00356206
0.00616968	0.00908411	0.00359414
0.00790126	0.00358368	0.00958791
0.00738306	0.00193265	0.00592218
0.00361898	0.00148638	0.00514253
0.00932971	0.00452287	0.000271824
0.00544047	0.0034879	0.00131506
0.00438067	0.00282942	0.00320779
0.00578482	0.0027007	0.00511428
0.00342928	0.00852862	0.00431855
0.00868934	0.00218848	0.00269369
0.00840755	0.00300026	0.00632498
0.00251943	0.00770436	0.00515874
0.00243048	0.00670309	0.00715151
0.00951563	0.00156643	0.00871192
0.00340918	0.00864178	0.00807569
0.00941752	0.00056383	0.00411006
0.00662857	0.00925316	0.00625544
0.00614321	0.00459477	0.00388349
0.00733055	0.00578103	0.00805498
0.00386076	0.00386474	0.00726977
0.0082605	0.00942584	0.00575917
0.0022253	0.0069201	0.00742679
0.00391648	0.00952516	0.00965394
0.000296195	0.00994094	0.00383315
0.00130529	0.00607074	0.00816748
0.00103038	0.000643255	0.00115322
0.00842542	0.000126652	0.00404624
0.00519805	0.00962213	0.00978568
0.00124814	0.00738031	0.00191392
0.00636229	0.00110975	0.00315693
0.00292722	8.9016e-05	0.000879141
0.00695096	0.00421653	0.00723291
0.00415813	0.0100636	0.00520395
0.00470865	0.00422657	0.00455138
0.00453759	0.00280812	0.00682497
0.00579446	0.00583689	0.00352905
0.00146883	0.00891553	0.00899828
0.0059509	0.00349772	0.00186103
0.00682452	0.00905962	0.00711597
0.00708751	0.00516721	0.00514431
0.00781509	0.00306135	0.00981065
0.00497145	0.00565124	0.00369951
0.00249596	0.0017928	0.00228981
0.00677472	0.0017272	0.00177103
0.0023384	0.00607336	0.00536774
0.0054982	0.00280112	0.00307103
0.00960451	0.00659737	0.00403532
0.00159295	0.00191207	0.00365936
0.00414601	0.00635486	0.0058763
0.00283213	0.00824866	0.0092236
0.000330434	0.00493206	0.00420327
0.00874109	0.000193536	0.00552308
0.00596331	0.00507665	0.00771972
0.00223602	0.00556104	0.00239799
0.000787079	-1.91825e-05	0.00872846
0.00764599	0.00596349	0.00765166
0.00645225	0.00588945	0.00210941
0.00842973	0.00240119	0.00891781
0.00156217	0.00585772	0.000935051
0.00409247	0.0048368	0.00807602
0.00721044	0.00329108	8.88797e-05
0.00541425	0.00392645	0.00353873
0.00395269	0.00986639	0.00948914
0.00278055	0.00490527	0.000986866
0.00404701	0.00969674	0.00997869
0.000592466	0.00519015	0.00605264
0.00973432	0.00604125	0.00928555
0.00318997	0.00087917	0.00222935
0.00265118	0.00159338	0.000520379
0.00341835	0.00841331	0.00523287
0.00224744	0.00628865	0.00890526
0.00282674	0.00470173	0.00598993
0.00467443	0.00395032	0.00477708
0.00209547	0.00752223	0.00103446
4.46903e-05	0.00730419	0.00523053
0.00465238	0.00980538	0.00500278
0.00018821	0.00696661	0.00335043
0.00951446	0.00651255	0.00380294
0.00483329	0.00214994	0.00374809
0.00219322	0.000679456	0.00991441
0.000972011	0.00338828	0.0076235
