x	y	z
0.000300854	0.00238085	0.00570015
0.00155363	0.00460136	0.00235685
0.0018466	0.00229982	0.00850484
0.00080226	0.00390807	0.00589679
0.00816687	0.0027571	0.00320522
0.000558887	0.00477833	0.0052067
0.00431024	0.00646452	0.00324421
0.00670843	0.00736999	0.0094225
0.00294879	0.00879316	0.000918788
0.00858293	0.00506513	0.00728913
0.00840033	0.0011627	0.000238518
0.00195571	0.00184005	0.00804023
0.00168323	0.00260814	0.00810884
0.00985302	0.00324726	0.0049437
0.00856879	0.00324279	0.00699604
0.00666532	0.00509268	0.00839034
0.00685773	0.00166365	0.00697644
0.00882808	0.00538316	0.00641718
0.00187937	0.000732208	0.00349267
0.00578475	0.00939991	0.00348552
0.00829532	0.00398112	0.00948516
0.00688899	0.00187797	0.00584836
0.00356878	0.00198354	0.00531949
0.00992773	0.00472448	0.000505165
0.00540892	0.00357039	0.00189533
0.00402943	0.00252674	0.00295223
0.00622655	0.00251771	0.00570794
0.00384122	0.00819447	0.00413769
0.00855877	0.00226619	0.00258527
0.00797947	0.00262096	0.00637118
0.00203864	0.00729937	0.00457594
0.00190948	0.00624058	0.00751582
0.00946224	0.0015938	0.00851874
0.00389391	0.00848131	0.00779915
0.00938533	0.00104476	0.00375014
0.00607346	0.00966984	0.00609189
0.00646257	0.00483787	0.00333294
0.00717404	0.00569335	0.00762745
0.00338618	0.00437022	0.00751713
0.00799338	0.00896297	0.00545869
0.00225737	0.00688481	0.00717287
0.00416237	0.00903132	0.00982898
-4.85751e-05	0.0098701	0.0036937
0.00163727	0.00582953	0.00859741
0.00077573	0.000665765	0.000558686
0.00792768	0.000126652	0.00412931
0.00503806	0.00974506	0.00978568
0.000877205	0.00729211	0.00239999
0.00633729	0.000920999	0.0030948
0.00348699	0.000226905	0.00120188
0.00664852	0.00471102	0.00716369
0.00411138	0.0096409	0.00544707
0.0048388	0.00373129	0.00398075
0.00490724	0.00307174	0.00689502
0.00597183	0.00598964	0.00400456
0.00168327	0.00925986	0.00920403
0.00577974	0.00346709	0.00157126
0.00651922	0.00941764	0.00710209
0.00738356	0.00493937	0.00517367
0.0083388	0.00324707	0.00981065
0.00504736	0.00558164	0.00416077
0.00264636	0.00167619	0.00234114
0.0073353	0.00174778	0.00180148
0.00265809	0.0055925	0.00579741
0.00601374	0.00329325	0.0025948
0.00958274	0.00622571	0.00360372
0.00173544	0.00178214	0.00414805
0.00395452	0.00661345	0.00581106
0.00257182	0.00785317	0.00975013
0.00022308	0.00489365	0.00448523
0.00888939	6.61112e-05	0.00528212
0.00603231	0.00448851	0.00779651
0.00247557	0.00563315	0.00184269
0.000581551	0.00046203	0.00891363
0.00774227	0.00628886	0.00743435
0.00699481	0.00555269	0.0016776
0.00890939	0.00201522	0.00866092
0.00193047	0.00571273	0.000694291
0.00424031	0.00502159	0.00842717
0.00744934	0.00344023	0.000307548
0.0059613	0.00396715	0.00361718
0.00450375	0.00937145	0.0089041
0.00309678	0.00444856	0.00104152
0.00435263	0.00971862	0.00963216
0.00102415	0.00463645	0.00604884
0.00973432	0.00614262	0.00895314
0.00319297	0.00108147	0.00210361
0.00230026	0.00186239	0.00107274
0.00373822	0.0083489	0.00569914
0.00228762	0.00596106	0.00879607
0.00305022	0.00511891	0.0062836
0.00481036	0.00424423	0.0051602
0.00236003	0.0072151	0.000661625
0.000388951	0.00672341	0.00563264
0.00447997	0.00993894	0.00447728
6.80131e-05	0.00696309	0.00391564
0.00945036	0.00632787	0.00377757
0.00485939	0.00257593	0.0037428
0.00169885	0.0012414	0.00945584
0.00107289	0.00296347	0.00734706
