x	y	z
0.00940179	0.000596658	0.00596693
0.00170051	0.000529461	0.00194262
0.00445017	0.0048537	0.00419584
0.00310448	0.00248574	0.00858064
0.00580294	0.00763718	0.00951137
2.33882e-05	0.00811869	0.00998076
0.000649897	0.0085664	0.000371005
0.00117867	0.00430788	0.00926558
0.00976005	0.00361703	0.00414035
0.00356904	0.00467722	0.00563572
0.00329764	0.001429	0.00518528
0.00313323	0.0082554	0.00204158
0.00538968	0.00686094	0.00648035
0.00461114	0.00619391	0.00990375
0.00279036	0.00369879	0.00274439
0.00669452	0.00886854	0.00331211
0.00714771	0.00331353	0.00691564
0.00979556	0.00547095	0.00076016
0.00272672	0.00724529	0.00856965
0.00956986	0.00661038	0.00408295
0.00336963	0.00113278	0.00121436
0.00318347	0.00813959	0.00571304
0.00931679	0.00521508	0.00511304
0.00185452	0.00173396	0.00614424
0.00902207	0.00586648	0.00411971
0.00420505	0.00308165	0.00793552
0.00394432	0.00340216	0.00165131
0.00322331	0.00613387	0.00477069
0.00344473	0.00663068	0.00502488
0.00334191	0.00584505	0.00108066
0.00340088	0.00696187	0.0093355
0.00112798	0.00092166	0.0058764
0.00443504	0.00153449	0.00951684
0.00898354	0.00679634	0.000655184
0.00693333	0.00657544	0.00464994
0.00912654	0.00223916	0.0047562
0.00992231	0.00285256	0.00581042
0.00500902	0.00427578	0.00399347
0.00251614	0.00664484	0.000632461
0.00162702	0.00132564	0.000300572
0.00140759	0.00907838	0.00382962
0.0038755	0.00532752	0.00979981
0.000698427	0.00586778	0.000370337
0.0039058	0.00667379	0.000500302
0.0098159	0.00190758	0.00799039
0.00469237	0.000873099	0.00536148
0.00330488	0.00431582	0.00341946
0.00304102	0.00263212	0.00701771
0.0091999	0.00246245	0.00979463
3.50897e-05	0.00677662	0.00448302
0.00115417	0.00891422	0.00491408
0.00946508	0.00238371	0.00224597
0.0099796	1.6666e-05	0.00883112
0.00275095	0.00707008	0.00111604
0.0057649	0.00856092	0.00994832
0.00271972	0.0100059	0.00574059
0.00535183	0.00697415	0.0053866
0.00117633	0.00852258	0.00869162
0.0063474	0.00915426	0.00181148
0.00912436	0.00203991	0.00342121
0.00364316	0.0064517	0.00823527
0.0054789	0.00499946	0.00353024
0.00369156	0.000605712	0.00167463
0.00612137	0.000543462	0.00329099
0.00730259	0.0074763	0.00330915
0.00793206	0.00864154	0.0072723
0.00551145	0.0033629	0.00830194
0.00583756	0.0028638	0.00673528
0.00782149	0.00725993	0.0100134
0.00750525	0.00929158	0.00763377
0.0080737	0.00535424	0.00724992
0.00185752	0.00889959	0.000975015
0.00475128	0.00261664	0.00489686
0.00410979	0.00551477	0.0077718
0.00326519	0.009163	0.00776031
0.0056384	0.003925	0.00923433
0.00563167	0.00581057	0.00211039
2.75796e-05	0.00225721	0.00819798
0.00736951	0.00394365	0.0082516
0.000242698	0.00639842	0.00464446
0.00404662	0.000691237	0.00535606
0.00202394	0.00565941	0.0051013
0.00694416	0.003459	0.00520445
0.00949715	0.00721293	0.00911236
0.00800306	0.0071281	0.00648361
0.00546771	0.00544997	0.0069033
0.0028505	0.00192439	0.00350766
0.00224177	0.00881183	0.00190127
0.00741663	0.00428075	0.00717565
0.00230771	0.0032857	0.00124362
0.00249152	0.00226815	0.00721358
0.0093186	0.00928971	0.0013929
0.00778361	0.00224977	0.00308508
0.00167993	0.00720739	7.00444e-05
0.00416387	0.00533128	0.00368904
0.000729096	0.00736621	0.000241771
0.00322205	0.00740518	0.00668184
0.00187092	0.00577081	0.00434962
0.00194603	0.00227162	0.00143091
0.00953033	0.00869832	0.0011271
