x	y	z
0.00220254	0.00930133	0.000423842
0.0037861	0.000865673	0.00709088
0.000899842	0.000752004	0.000737541
0.00247782	0.00986834	0.00302569
0.00168296	0.00630883	0.00779485
0.00900787	0.00994917	0.00587285
0.00474861	0.00799427	0.00974959
0.00638786	0.00143136	0.00930829
0.00808191	0.00518412	0.00213959
0.000255981	0.00478281	0.00300252
0.000757155	0.00506841	0.00915543
0.00738253	0.00279047	0.0036744
0.000694841	0.00941262	0.0042771
0.00308502	0.00550427	0.00216607
0.00436324	0.00180387	0.000193396
0.00789151	0.00304475	0.00896835
0.00511785	0.00801873	0.00312606
0.00439643	-1.26153e-06	0.00486731
0.00944033	0.00907525	0.0092751
0.00232042	0.00318926	0.00746842
0.00435477	0.00888292	0.00198493
0.00787713	0.00643519	0.00801351
0.0077522	0.000657786	0.00938952
0.000359482	0.00801741	0.00112741
0.00803858	0.00329541	0.00615067
0.00672228	0.00757137	0.00414481
0.00976032	0.00227373	0.00333333
0.00960838	0.00418465	0.000821957
0.000593928	0.00420884	0.00840419
0.00341326	0.00590827	0.00252073
0.00171812	0.000549447	0.00729569
0.00503546	0.00469886	0.00277971
0.00609891	0.000681399	0.00452632
0.00389391	0.00179493	0.00927403
0.00793667	0.00136538	0.00650951
0.00810885	0.00480865	0.000312978
-3.10825e-05	0.0046758	0.00883846
0.00013121	0.00700862	0.00278214
0.00275342	0.00234833	0.00702242
0.00995226	0.0071115	0.00966532
0.000408164	0.00982526	0.00827318
0.00375255	0.010019	0.00475274
0.00857068	0.00753247	0.00471628
0.00584236	0.00582953	0.0071643
0.00187922	0.00120601	0.0096749
0.00925499	0.00839499	0.00277255
0.00167836	0.000484619	0.00884253
0.00841966	0.00538108	0.00207594
0.00842071	0.00337474	0.00827241
0.00274063	0.00601823	0.00550502
0.00826154	0.0040517	0.0070714
0.00800781	0.00456791	0.00528499
0.00596674	0.00472185	0.00892622
0.00576976	0.00113848	0.00105767
0.00875066	0.00670247	0.00463856
0.00389912	0.000651587	0.00790095
1.722e-05	0.00601954	0.00562808
0.00824929	0.000347683	0.00825896
0.00284419	0.00380021	0.00272666
0.00519654	0.00782808	0.00886407
0.00127754	0.00862104	0.00600583
0.00986556	0.00863367	0.00193051
0.000982105	3.29635e-05	0.000725768
0.00393684	0.0055925	0.00995091
0.00326418	0.00263708	0.00195982
0.00861047	0.00288071	0.000582536
0.00995241	0.00741223	0.00349646
0.000124597	0.00514807	0.00876858
0.00413371	0.000470598	0.0062399
0.00916924	0.00809447	0.00110172
0.00345146	0.00932564	0.00528212
0.000281904	0.00703713	0.00139736
0.00263527	0.000369276	0.00776593
0.00229429	0.00046203	0.00650652
0.00026442	0.000757508	0.00547861
0.00229257	0.00656298	0.00254122
0.00922917	0.00613221	0.00994534
0.00855988	0.00223304	0.000694291
0.00803478	0.00970292	0.000818912
0.00768823	0.00895888	0.00212978
0.000855495	0.000575936	0.00291117
0.000829959	0.00970141	0.00305364
0.00320219	0.0023172	0.00350102
0.00099086	0.00789498	0.00166185
0.005341	0.00998889	0.00636527
0.00309737	0.00229083	0.00341304
0.00294372	0.00431828	0.00742642
0.00861694	0.000427667	0.00475512
0.00267201	0.00628799	0.00725337
0.0010554	0.00683464	0.00213536
0.00446561	0.00942981	0.00187846
0.00648679	0.000129467	0.00669266
0.000419888	0.00731747	0.00849126
0.00228239	0.00517469	0.00750918
0.00120405	0.0011688	0.00763025
0.00968376	0.00725648	0.00278522
0.00521981	0.00164927	0.0058913
0.00268438	0.00740375	0.00418444
0.0026876	0.00498768	0.00731586
0.0073277	0.00183066	0.0097429
